分类,分类名称,箱号,序号,产品名称,resourceCode,图片文件名,图片存放路径
soothing-aids,安抚教具,14,18,"星空投影互动",soothing-aids-box14-seq018,soothing-aids-box14-seq018.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box14-seq018.webp
soothing-aids,安抚教具,15,19,"安抚星",soothing-aids-box15-seq019,soothing-aids-box15-seq019.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box15-seq019.webp
soothing-aids,安抚教具,16,20,"呼吸安抚灯",soothing-aids-box16-seq020,soothing-aids-box16-seq020.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box16-seq020.webp
soothing-aids,安抚教具,15,21,"流沙安抚灯组",soothing-aids-box15-seq021,soothing-aids-box15-seq021.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box15-seq021.webp
soothing-aids,安抚教具,17,22,"三色安抚灯",soothing-aids-box17-seq022,soothing-aids-box17-seq022.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box17-seq022.webp
soothing-aids,安抚教具,18,23,"电光灯",soothing-aids-box18-seq023,soothing-aids-box18-seq023.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box18-seq023.webp
soothing-aids,安抚教具,19,24,"卫星安抚灯",soothing-aids-box19-seq024,soothing-aids-box19-seq024.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box19-seq024.webp
soothing-aids,安抚教具,20,25,"光感静心安抚组",soothing-aids-box20-seq025,soothing-aids-box20-seq025.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box20-seq025.webp
soothing-aids,安抚教具,21,26,"光纤安抚组",soothing-aids-box21-seq026,soothing-aids-box21-seq026.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box21-seq026.webp
soothing-aids,安抚教具,22,27,"情绪管理游戏",soothing-aids-box22-seq027,soothing-aids-box22-seq027.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box22-seq027.webp
soothing-aids,安抚教具,22,28,"情感表达套装",soothing-aids-box22-seq028,soothing-aids-box22-seq028.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box22-seq028.webp
soothing-aids,安抚教具,23,29,"旋转戒指套装",soothing-aids-box23-seq029,soothing-aids-box23-seq029.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box23-seq029.webp
soothing-aids,安抚教具,23,30,"回弹球",soothing-aids-box23-seq030,soothing-aids-box23-seq030.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box23-seq030.webp
soothing-aids,安抚教具,24,31,"情绪互动套装",soothing-aids-box24-seq031,soothing-aids-box24-seq031.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box24-seq031.webp
soothing-aids,安抚教具,25,32,"减压板",soothing-aids-box25-seq032,soothing-aids-box25-seq032.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box25-seq032.webp
soothing-aids,安抚教具,26,33,"恐龙压印玩具",soothing-aids-box26-seq033,soothing-aids-box26-seq033.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box26-seq033.webp
soothing-aids,安抚教具,26,34,"气泡运动计时器",soothing-aids-box26-seq034,soothing-aids-box26-seq034.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box26-seq034.webp
soothing-aids,安抚教具,27,35,"感官帐篷",soothing-aids-box27-seq035,soothing-aids-box27-seq035.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box27-seq035.webp
soothing-aids,安抚教具,28,36,"感官枕头",soothing-aids-box28-seq036,soothing-aids-box28-seq036.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box28-seq036.webp
soothing-aids,安抚教具,29,37,"安抚选项卡",soothing-aids-box29-seq037,soothing-aids-box29-seq037.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box29-seq037.webp
soothing-aids,安抚教具,29,38,"声音标尺",soothing-aids-box29-seq038,soothing-aids-box29-seq038.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box29-seq038.webp
